iter	MultiClass
339	0.1513486558
340	0.150871822
341	0.1503359014
342	0.1500673856
343	0.1495616984
344	0.1493860876
345	0.1490302357
346	0.1488957805
347	0.1487939735
348	0.1482812965
349	0.1479567421
350	0.147577515
351	0.1471922799
352	0.1469861003
353	0.1468190542
354	0.146358868
355	0.1459376619
356	0.145747008
357	0.1454894658
358	0.1450998013
359	0.1449138691
360	0.1447549012
361	0.144564684
362	0.1441772266
363	0.1439202526
364	0.1437886818
365	0.1435141165
366	0.1432887468
367	0.1428145101
368	0.1425074279
369	0.1423157828
370	0.1418796478
371	0.1415203688
372	0.1410236157
373	0.1407477052
374	0.1405327298
375	0.1403749413
376	0.1399774945
377	0.1397184634
378	0.139485151
379	0.1392472983
380	0.1390260179
381	0.138841111
382	0.1385277948
383	0.1382769213
384	0.1380029469
385	0.1379186196
386	0.1376474849
387	0.1373494459
388	0.1370910079
389	0.1367994977
390	0.1366290879
391	0.1363850671
392	0.1360799852
393	0.1356863619
394	0.1353660268
395	0.135201224
396	0.1347625242
397	0.1346499414
398	0.1341879911
399	0.1338563665
400	0.1336757724
401	0.1332933531
402	0.1332077186
403	0.1329652134
404	0.1327769494
405	0.132489956
406	0.13235495
407	0.1321511072
408	0.1319110348
409	0.1314195744
410	0.1311271334
411	0.1309996146
412	0.130833502
413	0.130693327
414	0.1305136673
415	0.130380531
416	0.1301451358
417	0.129914473
418	0.1297770372
419	0.1295976151
420	0.1293661666
421	0.129179724
422	0.1289976989
423	0.1285908795
424	0.1284332592
425	0.1283206238
426	0.1280632733
427	0.127940316
428	0.1275575958
429	0.127392762
430	0.1271496507
431	0.1269984815
432	0.1266848677
433	0.1263762354
434	0.1262846072
435	0.1260468288
436	0.1258350598
437	0.1257030847
438	0.1255952007
439	0.1252681403
440	0.125103885
441	0.1248852782
442	0.124720567
443	0.124501415
444	0.124330409
445	0.1240221884
446	0.1238951665
447	0.1237748172
448	0.1235940156
449	0.1233246239
450	0.1231113211
451	0.1228944638
452	0.122577143
453	0.1223494351
454	0.1221056902
455	0.1219115325
456	0.1218236139
457	0.1215316085
458	0.1212939045
459	0.1211948756
460	0.1210464601
461	0.1208544483
462	0.1206797553
463	0.1206005651
464	0.1204620516
465	0.1202586911
466	0.1200893478
467	0.1198167579
468	0.1195634371
469	0.1193922152
470	0.1191950661
471	0.1189496276
472	0.1186873281
473	0.1183226706
474	0.1181117363
475	0.1179881186
476	0.1177281273
477	0.1174886789
478	0.117347106
479	0.1171421377
480	0.1169573153
481	0.1167333148
482	0.116504055
483	0.1162177114
484	0.1161598103
485	0.1160085778
486	0.1158284489
487	0.1155705787
488	0.1154336584
489	0.1153601518
490	0.115282835
491	0.1152225635
492	0.1149624464
493	0.1148666652
494	0.1147334136
495	0.1145744873
496	0.1143531919
497	0.1142533395
498	0.1141983674
499	0.114006476
